232,11,66
481,0,21
139,0,6
10,3,82
576,13,15
86,11,85
581,2,41
683,8,51
467,28,44
61,4,53
478,0,34
236,0,18
280,1,10
562,0,1
220,2,73
151,31,82
737,0,1
262,1,6
349,17,29
118,29,79
530,7,35
693,0,66
592,5,23
492,9,42
397,0,22
242,3,0
483,9,79
255,1,3
159,2,39
535,0,69
336,2,4
447,17,62
419,11,19
642,20,112
67,2,6
412,5,14
33,7,25
125,5,16
353,11,63
731,13,52
515,11,121
543,5,4
258,0,0
202,5,60
259,1,13
292,16,27
680,11,22
221,0,13
661,11,77
44,2,36
46,12,60
444,2,27
27,2,19
251,0,3
245,5,23
675,0,62
578,9,47
154,15,39
697,0,36
424,0,8
502,0,23
538,14,15
98,0,3
166,9,14
270,3,5
498,0,39
354,10,49
643,5,27
66,3,0
188,10,28
319,2,31
610,1,5
184,5,5
533,5,5
307,1,14
730,2,21
682,3,10
31,6,24
418,11,16
534,0,1
651,3,29
286,21,20
1,2,29
441,0,1
470,3,9
170,2,8
329,1,90
736,1,10
434,11,22
89,1,28
463,8,14
432,3,19
76,0,3
240,10,29
84,0,41
343,7,50
401,9,20
430,17,77
472,0,9
164,1,20
561,2,11
613,2,100
41,1,0
541,1,0
